cluster_id	group
0	mua
2	noise
3	noise
4	good
5	noise
8	good
9	good
10	good
12	mua
13	noise
14	mua
15	noise
16	good
18	noise
20	noise
21	mua
22	mua
24	noise
25	good
26	noise
28	noise
29	mua
30	good
31	mua
32	good
33	mua
34	noise
35	noise
36	noise
37	good
39	noise
41	mua
42	noise
43	noise
45	noise
47	noise
50	mua
51	noise
52	noise
53	mua
55	mua
56	mua
57	mua
58	good
59	noise
60	noise
61	noise
62	noise
63	noise
66	noise
67	mua
68	mua
69	noise
70	mua
71	noise
72	noise
73	mua
75	noise
76	good
78	good
79	mua
80	mua
83	good
84	noise
85	noise
87	noise
89	good
90	good
91	good
92	mua
94	good
96	noise
99	noise
101	noise
103	good
104	noise
105	noise
106	noise
108	mua
109	good
110	mua
111	good
112	noise
113	noise
114	noise
115	mua
118	mua
119	good
120	noise
121	noise
122	good
123	noise
124	noise
125	mua
126	noise
128	noise
129	mua
130	mua
131	good
132	noise
133	noise
134	noise
135	noise
136	mua
137	mua
138	noise
139	mua
140	noise
141	noise
144	good
145	good
147	good
148	noise
149	noise
151	noise
152	mua
153	noise
154	mua
155	mua
156	mua
157	noise
158	mua
159	noise
160	noise
161	noise
162	mua
163	noise
164	noise
165	good
166	noise
167	good
168	mua
169	noise
170	mua
172	noise
173	noise
175	noise
176	mua
177	noise
180	good
181	noise
182	noise
183	mua
184	mua
185	mua
186	mua
187	mua
188	good
190	noise
379	good
380	good
381	good
382	good
383	good
541	good
542	mua
543	mua
544	good
546	good
547	good
548	noise
549	good
550	mua
551	mua
552	mua
553	mua
554	mua
