id	amplitude	channel	depth	firing_rate	group	n_spikes
0	21.80667114	40	48.00000000	0.7 spk/s	good	1919
2	40.99384308	14	28.00000000	3.4 spk/s	good	9052
3	24.35719299	22	17.00000000	0.9 spk/s	noise	2376
4	18.83090973	63	51.00000000	0.6 spk/s	good	1640
5	22.74456406	15	21.00000000	0.4 spk/s	noise	1207
12	25.37803078	31	15.00000000	0.7 spk/s	noise	1952
14	21.60063171	7	8.00000000	2.4 spk/s	good	6370
15	34.54566193	44	35.00000000	6.5 spk/s	mua	17416
18	26.61378860	31	15.00000000	2.3 spk/s	noise	6117
19	22.43157959	34	64.00000000	0.8 spk/s	noise	2069
20	31.34599686	16	29.00000000	0.3 spk/s	mua	840
21	22.41315842	6	24.00000000	1.5 spk/s	noise	4085
22	26.59304428	8	25.00000000	0.2 spk/s	noise	406
23	15.18280792	5	4.00000000	11.0 spk/s	noise	29712
24	20.51207733	20	18.00000000	6.7 spk/s	noise	18074
25	20.65233231	20	18.00000000	9.7 spk/s	noise	26160
27	43.86108780	6	24.00000000	2.2 spk/s	noise	5868
28	21.10956573	51	43.00000000	2.6 spk/s	mua	6933
30	24.20805740	29	16.00000000	1.6 spk/s	noise	4287
33	20.80329514	49	44.00000000	0.7 spk/s	mua	1815
34	40.71782684	11	23.00000000	3.9 spk/s	mua	10466
35	30.68808556	10	26.00000000	2.3 spk/s	mua	6217
36	27.22259331	12	27.00000000	1.4 spk/s	mua	3860
37	34.26648712	23	32.00000000	2.2 spk/s	noise	5785
44	19.21923256	23	32.00000000	3.8 spk/s	noise	10256
46	22.41627884	31	15.00000000	3.7 spk/s	good	9822
48	24.71294785	7	8.00000000	5.1 spk/s	noise	13677
49	20.73354530	49	44.00000000	4.9 spk/s	mua	13279
51	20.20589828	20	18.00000000	1.9 spk/s	noise	5149
52	33.68055725	7	8.00000000	5.6 spk/s	noise	15140
53	23.67388916	45	46.00000000	4.3 spk/s	good	11649
54	42.88237000	23	32.00000000	3.6 spk/s	good	9684
59	21.06466293	23	32.00000000	2.2 spk/s	noise	5915
60	21.12844849	34	64.00000000	0.1 spk/s	noise	397
62	20.92039490	24	6.00000000	0.9 spk/s	good	2486
65	10.45948696	23	32.00000000	10.5 spk/s	noise	28217
66	38.21972275	29	16.00000000	5.0 spk/s	good	13366
69	22.00128174	34	64.00000000	0.7 spk/s	noise	1950
71	11.19263268	23	32.00000000	20.2 spk/s	noise	54460
75	21.54776382	23	32.00000000	3.4 spk/s	noise	9197
76	31.21624756	14	28.00000000	0.9 spk/s	noise	2398
78	22.59736824	1	14.00000000	1.0 spk/s	noise	2572
79	21.44818878	42	47.00000000	0.9 spk/s	mua	2526
81	27.45995331	19	19.00000000	1.4 spk/s	good	3863
82	28.48114967	20	18.00000000	2.3 spk/s	noise	6193
83	37.77995300	16	29.00000000	2.7 spk/s	good	7357
84	52.52875519	23	32.00000000	3.4 spk/s	mua	9251
87	40.22413254	21	31.00000000	1.2 spk/s	good	3097
88	19.47949219	23	32.00000000	1.7 spk/s	noise	4645
89	11.95295048	23	32.00000000	12.3 spk/s	noise	33170
90	26.26503181	42	47.00000000	7.6 spk/s	good	20570
92	19.84222794	19	19.00000000	2.3 spk/s	good	6074
93	31.53721237	6	24.00000000	2.0 spk/s	noise	5352
95	53.17429733	14	28.00000000	2.8 spk/s	good	7445
97	42.80145264	12	27.00000000	5.6 spk/s	good	14983
98	25.31901932	15	21.00000000	0.9 spk/s	noise	2550
99	20.26253510	24	6.00000000	6.6 spk/s	good	17839
101	20.52694321	26	7.00000000	5.5 spk/s	good	14748
102	20.33242035	0	3.00000000	2.9 spk/s	good	7823
103	33.32310104	12	27.00000000	0.2 spk/s	noise	503
