cluster_id	group
0	mua
1	mua
2	good
3	good
4	mua
6	noise
7	mua
8	noise
9	noise
10	mua
11	mua
12	noise
13	good
14	mua
16	mua
17	noise
19	good
20	mua
21	mua
24	good
25	mua
26	mua
27	good
28	noise
29	noise
30	noise
31	noise
32	mua
34	noise
35	noise
37	good
39	mua
40	good
43	noise
44	good
45	noise
46	mua
48	mua
52	good
53	noise
55	good
56	noise
57	noise
58	noise
59	good
61	good
62	mua
63	mua
64	noise
66	mua
68	noise
69	mua
70	mua
71	good
74	mua
75	noise
76	noise
77	noise
78	noise
79	noise
81	good
82	mua
84	mua
87	noise
89	good
90	noise
91	mua
93	mua
94	noise
95	noise
100	mua
101	good
102	good
104	mua
105	good
106	mua
107	mua
108	noise
109	good
110	good
111	noise
112	good
113	mua
114	noise
115	mua
116	mua
117	good
118	noise
121	mua
122	noise
123	noise
125	mua
127	mua
130	mua
133	noise
134	mua
135	noise
136	mua
138	mua
139	mua
141	mua
142	mua
143	noise
144	noise
145	mua
146	mua
147	noise
148	noise
150	good
151	noise
152	mua
153	mua
154	good
157	good
158	noise
159	mua
160	mua
161	good
162	mua
163	good
164	good
166	mua
167	mua
168	good
169	good
172	mua
173	good
174	good
175	good
178	noise
179	noise
182	noise
183	good
184	noise
185	noise
187	good
188	mua
190	mua
191	noise
194	good
195	good
197	good
426	good
531	good
533	good
534	good
652	good
709	good
710	good
711	good
714	good
715	good
716	good
717	good
868	mua
869	good
870	good
871	good
872	good
