id	amplitude	channel	depth	firing_rate	group	n_spikes
0	20.77214622	23	32.00000000	1.5 spk/s	good	5232
1	51.81982040	3	5.00000000	0.6 spk/s	noise	1984
2	12.38836575	14	28.00000000	0.3 spk/s	noise	896
3	12.97935963	24	6.00000000	0.3 spk/s	noise	986
4	12.23119640	62	62.00000000	0.0 spk/s	mua	123
5	17.36079788	38	58.00000000	0.1 spk/s	mua	528
7	16.07946205	23	32.00000000	3.1 spk/s	noise	11085
8	40.42880249	3	5.00000000	1.0 spk/s	mua	3422
9	11.73373127	23	32.00000000	0.3 spk/s	noise	1129
10	22.98276138	39	54.00000000	5.9 spk/s	mua	21013
11	26.10725403	49	44.00000000	4.1 spk/s	good	14543
14	23.50669289	51	43.00000000	0.3 spk/s	noise	1212
15	11.91666222	14	28.00000000	0.1 spk/s	noise	375
16	15.58180904	48	37.00000000	0.5 spk/s	mua	1826
19	15.38567352	23	32.00000000	3.2 spk/s	good	11266
20	15.58421707	15	21.00000000	4.4 spk/s	noise	15690
21	13.79881477	24	6.00000000	0.4 spk/s	noise	1437
22	11.91666794	14	28.00000000	0.2 spk/s	noise	841
24	14.98125267	24	6.00000000	0.3 spk/s	noise	1123
25	14.71186066	5	4.00000000	11.1 spk/s	noise	39278
27	12.49999428	14	28.00000000	0.2 spk/s	noise	700
28	13.70856094	15	21.00000000	3.1 spk/s	noise	10888
29	20.63997841	51	43.00000000	0.8 spk/s	mua	2957
30	16.36752701	14	28.00000000	0.2 spk/s	mua	639
31	20.68169785	51	43.00000000	0.8 spk/s	good	2679
32	19.44096184	16	29.00000000	0.8 spk/s	good	2896
34	14.06484222	5	4.00000000	1.0 spk/s	noise	3666
35	21.37474251	53	42.00000000	0.5 spk/s	good	1631
37	21.49698448	41	33.00000000	8.0 spk/s	good	28526
38	12.79987717	24	6.00000000	0.7 spk/s	noise	2599
39	11.40424156	6	24.00000000	0.4 spk/s	noise	1381
40	23.91048622	18	30.00000000	3.8 spk/s	good	13415
41	48.37149048	5	4.00000000	1.1 spk/s	good	3750
42	13.86959267	5	4.00000000	0.0 spk/s	noise	61
43	14.25695229	52	39.00000000	0.2 spk/s	mua	738
44	33.30058289	13	22.00000000	4.8 spk/s	good	17221
45	20.05597496	55	41.00000000	2.1 spk/s	mua	7336
47	15.72210503	21	31.00000000	0.4 spk/s	noise	1428
48	20.62620163	52	39.00000000	0.5 spk/s	mua	1909
49	37.83794785	0	3.00000000	2.6 spk/s	mua	9351
51	11.73372650	23	32.00000000	0.6 spk/s	noise	2158
52	39.86396790	10	26.00000000	7.0 spk/s	good	24706
53	39.93857574	1	14.00000000	20.5 spk/s	good	72798
54	23.12756157	48	37.00000000	1.2 spk/s	good	4355
55	14.19680786	3	5.00000000	5.3 spk/s	noise	18964
57	22.53754425	26	7.00000000	4.2 spk/s	mua	15036
58	14.85101128	24	6.00000000	1.5 spk/s	noise	5297
59	17.00970268	54	59.00000000	0.4 spk/s	mua	1304
60	14.00809669	21	31.00000000	0.3 spk/s	noise	925
61	13.86959076	5	4.00000000	1.4 spk/s	noise	4924
64	56.39542007	24	6.00000000	2.0 spk/s	good	6930
65	72.44036102	3	5.00000000	10.7 spk/s	good	38072
66	15.40186501	62	62.00000000	1.6 spk/s	mua	5765
67	17.88464928	52	39.00000000	7.1 spk/s	good	25346
68	11.85642052	15	21.00000000	0.2 spk/s	noise	602
69	12.27469826	3	5.00000000	0.7 spk/s	noise	2357
70	27.49384689	26	7.00000000	1.2 spk/s	good	4375
71	19.47804832	26	7.00000000	3.5 spk/s	mua	12365
72	13.17261028	32	63.00000000	1.9 spk/s	mua	6831
74	54.36403275	3	5.00000000	0.2 spk/s	mua	807
75	35.86922073	13	22.00000000	7.6 spk/s	good	27085
76	24.97461128	25	10.00000000	17.6 spk/s	noise	62418
78	11.85641670	15	21.00000000	0.5 spk/s	noise	1818
79	15.24199295	24	6.00000000	0.7 spk/s	noise	2596
80	19.55681992	50	38.00000000	1.3 spk/s	mua	4485
81	61.63896179	3	5.00000000	0.9 spk/s	good	3191
82	20.71289635	57	40.00000000	1.2 spk/s	mua	4256
83	24.85828781	52	39.00000000	1.2 spk/s	good	4357
84	11.48617363	24	6.00000000	0.1 spk/s	noise	438
85	26.36643982	47	45.00000000	4.8 spk/s	good	16964
86	12.60276222	15	21.00000000	0.2 spk/s	noise	642
87	13.11164284	3	5.00000000	1.3 spk/s	noise	4529
88	14.31839180	5	4.00000000	13.7 spk/s	noise	48582
89	17.78250313	33	50.00000000	0.4 spk/s	mua	1431
92	51.02320862	5	4.00000000	0.4 spk/s	mua	1532
94	15.41849613	51	43.00000000	1.6 spk/s	mua	5638
96	17.58893013	48	37.00000000	6.4 spk/s	mua	22646
97	11.69261837	15	21.00000000	2.1 spk/s	noise	7350
99	16.09949493	51	43.00000000	0.6 spk/s	noise	1995
100	39.41715240	24	6.00000000	6.1 spk/s	mua	21782
101	48.04342651	3	5.00000000	1.4 spk/s	good	5059
103	28.12529564	10	26.00000000	6.5 spk/s	good	22926
104	31.54060555	19	19.00000000	3.7 spk/s	noise	13273
106	13.86958981	5	4.00000000	0.1 spk/s	noise	434
107	36.47105408	15	21.00000000	5.8 spk/s	mua	20446
110	52.56964874	3	5.00000000	11.2 spk/s	good	39623
111	14.25695038	52	39.00000000	0.3 spk/s	mua	1239
113	13.06140137	3	5.00000000	6.9 spk/s	noise	24648
115	38.61456299	17	20.00000000	11.1 spk/s	good	39252
116	12.98522758	10	26.00000000	2.5 spk/s	noise	9050
117	14.69087315	59	61.00000000	3.4 spk/s	mua	11940
118	16.24328613	32	63.00000000	0.2 spk/s	mua	628
119	12.79988480	24	6.00000000	2.0 spk/s	noise	6925
120	17.16873932	18	30.00000000	1.3 spk/s	good	4721
122	12.38836670	14	28.00000000	0.6 spk/s	noise	2132
123	53.91342926	3	5.00000000	5.9 spk/s	mua	21111
124	13.09201431	60	53.00000000	2.5 spk/s	mua	9010
126	48.12462997	5	4.00000000	4.2 spk/s	mua	15081
127	20.64008331	53	42.00000000	1.9 spk/s	mua	6847
128	29.51704788	26	7.00000000	2.8 spk/s	mua	9821
129	13.10601425	53	42.00000000	3.4 spk/s	mua	12004
130	16.98911667	50	38.00000000	0.7 spk/s	mua	2540
131	19.61497498	23	32.00000000	0.4 spk/s	noise	1301
132	22.08001900	49	44.00000000	2.1 spk/s	good	7477
133	18.62710571	16	29.00000000	0.6 spk/s	mua	2253
134	16.24090195	45	46.00000000	3.6 spk/s	mua	12710
135	13.86959076	5	4.00000000	0.0 spk/s	noise	145
137	17.13681602	57	40.00000000	3.3 spk/s	mua	11850
140	12.83832550	6	24.00000000	0.2 spk/s	noise	693
141	15.32569122	47	45.00000000	0.0 spk/s	noise	132
143	12.87349129	63	51.00000000	5.1 spk/s	mua	18032
144	15.44829559	3	5.00000000	0.8 spk/s	noise	2941
145	13.07266235	24	6.00000000	0.2 spk/s	noise	784
147	28.04072952	51	43.00000000	10.3 spk/s	good	36563
150	12.34645844	3	5.00000000	2.9 spk/s	noise	10134
151	16.67280388	14	28.00000000	0.7 spk/s	noise	2309
152	16.67280197	14	28.00000000	2.9 spk/s	noise	10311
153	13.79881477	24	6.00000000	0.7 spk/s	noise	2342
156	15.42828560	21	31.00000000	2.8 spk/s	mua	9944
157	24.95241165	47	45.00000000	3.5 spk/s	good	12597
158	40.94378662	6	24.00000000	9.3 spk/s	good	33120
159	37.87341309	28	1.00000000	10.6 spk/s	mua	37490
161	11.52155781	61	60.00000000	0.2 spk/s	mua	679
162	25.15896797	35	49.00000000	4.9 spk/s	good	17345
163	32.12006760	8	25.00000000	4.3 spk/s	mua	15405
166	13.03645897	6	24.00000000	2.9 spk/s	noise	10303
167	36.74546814	24	6.00000000	0.5 spk/s	mua	1714
168	36.50982666	24	6.00000000	2.7 spk/s	mua	9553
170	11.73372841	23	32.00000000	0.4 spk/s	noise	1310
171	17.00970459	54	59.00000000	1.9 spk/s	mua	6579
172	12.23119450	62	62.00000000	0.1 spk/s	mua	239
173	12.23119354	62	62.00000000	0.3 spk/s	mua	1186
174	43.33988190	8	25.00000000	3.0 spk/s	mua	10798
175	21.87556267	45	46.00000000	3.1 spk/s	good	10865
176	13.54907703	24	6.00000000	0.8 spk/s	noise	2946
177	21.19995880	55	41.00000000	8.0 spk/s	good	28574
179	13.19232082	8	25.00000000	5.5 spk/s	noise	19630
181	13.64251900	5	4.00000000	3.4 spk/s	noise	12115
