cluster_id	group
1	mua
3	mua
5	mua
7	mua
8	mua
9	mua
10	good
12	good
14	mua
15	good
16	good
17	good
18	mua
20	mua
21	noise
22	mua
25	good
26	noise
27	good
29	good
30	good
32	good
33	mua
34	mua
37	mua
38	good
39	good
41	mua
44	good
46	mua
47	mua
48	mua
49	mua
50	noise
51	good
54	good
59	mua
60	good
61	good
63	good
64	good
65	good
66	good
67	good
68	mua
69	good
71	good
73	good
74	noise
77	good
78	noise
79	mua
81	noise
82	mua
87	good
88	noise
91	noise
92	mua
93	good
94	good
95	good
96	mua
99	mua
101	noise
102	good
103	mua
104	noise
106	noise
107	mua
109	good
110	mua
111	noise
112	noise
113	mua
114	mua
116	noise
117	good
120	mua
121	mua
122	good
123	mua
126	mua
127	good
129	mua
130	mua
132	mua
134	mua
137	good
139	noise
140	mua
141	noise
142	noise
143	mua
145	good
146	mua
151	mua
153	mua
158	noise
159	mua
160	noise
161	mua
162	noise
163	mua
165	mua
166	good
167	noise
168	mua
169	noise
170	good
172	good
173	mua
175	good
176	mua
177	mua
178	good
179	noise
181	mua
182	mua
184	mua
187	mua
188	good
190	mua
191	good
192	good
193	good
194	good
197	good
198	good
199	good
205	good
206	good
207	good
209	good
210	good
211	good
212	good
214	noise
215	good
216	good
219	noise
220	good
221	good
266	good
406	good
426	good
427	good
429	good
431	good
521	good
522	good
523	good
