id	amplitude	channel	depth	firing_rate	group	n_spikes
1	46.08784485	16	29.00000000	3.4 spk/s	mua	6729
3	27.85154343	33	50.00000000	0.4 spk/s	mua	686
5	75.60830688	55	41.00000000	15.9 spk/s	mua	31151
7	28.75009727	47	45.00000000	0.7 spk/s	mua	1305
8	25.33270073	40	48.00000000	4.3 spk/s	mua	8327
9	16.10634804	34	64.00000000	8.2 spk/s	mua	15974
10	47.63830185	10	26.00000000	0.5 spk/s	good	945
12	30.28340912	22	17.00000000	0.3 spk/s	good	519
14	18.74686241	24	6.00000000	2.1 spk/s	mua	4115
15	30.87867737	39	54.00000000	0.3 spk/s	good	586
16	40.34391785	44	35.00000000	6.9 spk/s	good	13500
17	38.23754120	52	39.00000000	2.4 spk/s	good	4682
18	25.94191360	63	51.00000000	1.1 spk/s	mua	2103
20	35.89506912	49	44.00000000	0.2 spk/s	mua	370
21	16.82786942	34	64.00000000	1.3 spk/s	noise	2639
22	30.43407249	63	51.00000000	7.3 spk/s	mua	14185
25	27.97285461	39	54.00000000	3.5 spk/s	good	6877
26	24.73599243	9	11.00000000	0.5 spk/s	noise	986
27	34.11570740	20	18.00000000	1.5 spk/s	good	2938
29	27.03847694	27	9.00000000	5.9 spk/s	good	11565
30	31.77493286	46	36.00000000	6.2 spk/s	good	12118
32	51.70747375	18	30.00000000	5.8 spk/s	good	11381
33	15.66862106	34	64.00000000	7.6 spk/s	mua	14915
34	28.17506790	22	17.00000000	0.1 spk/s	mua	262
37	31.40391350	49	44.00000000	0.2 spk/s	mua	446
38	29.22402954	3	5.00000000	0.6 spk/s	good	1210
39	38.19681168	44	35.00000000	1.8 spk/s	good	3612
41	76.45306396	57	40.00000000	5.2 spk/s	mua	10151
44	31.09218788	5	4.00000000	4.3 spk/s	good	8331
46	28.79145622	29	16.00000000	0.7 spk/s	mua	1369
47	29.03998947	19	19.00000000	1.4 spk/s	mua	2661
48	49.70715332	6	24.00000000	1.1 spk/s	mua	2106
49	28.26627159	45	46.00000000	0.2 spk/s	mua	465
50	16.80085945	60	53.00000000	1.9 spk/s	noise	3793
51	58.33491516	8	25.00000000	1.5 spk/s	good	2902
54	38.00357819	48	37.00000000	0.7 spk/s	good	1425
59	83.49599457	57	40.00000000	2.4 spk/s	mua	4645
60	38.73104858	51	43.00000000	2.2 spk/s	good	4344
61	23.76985168	26	7.00000000	3.2 spk/s	good	6245
63	36.13883209	9	11.00000000	3.5 spk/s	good	6876
