cluster_id	group
1	good
2	good
4	good
5	mua
6	good
8	good
9	noise
10	good
11	mua
13	noise
14	noise
15	mua
17	good
19	noise
20	good
22	good
25	noise
26	mua
31	mua
32	good
34	good
35	good
36	good
37	mua
39	noise
40	good
41	mua
43	noise
45	noise
46	mua
49	noise
50	mua
51	good
52	noise
54	good
56	mua
57	good
58	noise
59	good
61	noise
63	noise
65	mua
68	good
70	noise
71	good
73	noise
74	noise
75	mua
76	noise
78	good
79	good
80	good
81	good
86	noise
87	noise
88	mua
89	good
91	noise
93	good
95	noise
96	noise
97	good
99	good
100	noise
101	mua
102	good
103	noise
104	noise
107	good
108	noise
110	good
111	good
112	noise
113	good
117	mua
119	mua
120	good
121	noise
123	noise
125	noise
126	good
127	good
129	good
130	noise
131	noise
132	noise
135	good
136	mua
137	mua
138	noise
140	good
142	good
143	noise
145	good
148	mua
154	good
156	good
160	mua
161	mua
164	noise
165	mua
167	mua
169	mua
170	noise
172	mua
174	mua
175	noise
176	good
179	good
180	mua
181	mua
184	mua
185	noise
186	mua
187	noise
188	noise
189	mua
190	mua
191	noise
192	good
193	good
195	good
198	good
205	good
209	good
216	good
301	good
304	good
344	noise
353	mua
371	good
478	good
505	good
759	good
763	mua
767	mua
768	good
771	good
774	good
780	good
783	good
784	mua
899	good
986	good
987	good
988	good
990	mua
1112	good
1114	good
1270	good
