id	amplitude	channel	depth	firing_rate	group	n_spikes
0	28.15299225	43	34.00000000	2.7 spk/s	noise	6061
1	27.92602730	3	5.00000000	6.8 spk/s	good	15023
2	15.66573906	63	51.00000000	0.7 spk/s	mua	1501
3	21.57112122	47	45.00000000	0.3 spk/s	noise	600
4	39.45159531	11	23.00000000	8.0 spk/s	good	17708
9	26.03848267	3	5.00000000	7.9 spk/s	good	17582
11	30.37368584	5	4.00000000	4.4 spk/s	mua	9719
17	31.62556648	7	8.00000000	30.6 spk/s	noise	68099
19	26.52768517	55	41.00000000	6.2 spk/s	good	13688
20	32.42192078	41	33.00000000	0.5 spk/s	noise	1156
21	32.37450790	18	30.00000000	6.5 spk/s	good	14412
22	16.39548111	34	64.00000000	0.1 spk/s	noise	252
23	14.66936970	34	64.00000000	19.1 spk/s	noise	42429
26	34.47891998	22	17.00000000	2.1 spk/s	noise	4588
28	25.36845779	40	48.00000000	7.0 spk/s	mua	15674
29	16.46437263	6	24.00000000	10.8 spk/s	noise	24047
31	39.61178589	23	32.00000000	5.8 spk/s	good	12933
34	18.49264526	34	64.00000000	3.1 spk/s	noise	6906
35	29.65849495	7	8.00000000	0.3 spk/s	noise	712
36	32.15701675	7	8.00000000	2.2 spk/s	noise	4888
37	10.23753357	24	6.00000000	1.3 spk/s	noise	2877
39	67.12109375	6	24.00000000	7.5 spk/s	good	16771
41	43.93466568	12	27.00000000	4.0 spk/s	mua	8828
42	71.92051697	15	21.00000000	6.3 spk/s	good	14075
43	53.11485291	12	27.00000000	4.7 spk/s	good	10495
47	25.66798592	27	9.00000000	10.9 spk/s	good	24177
50	19.22496414	13	22.00000000	3.8 spk/s	noise	8408
54	14.27295113	34	64.00000000	0.0 spk/s	noise	61
57	38.48217010	48	37.00000000	3.6 spk/s	mua	8032
58	23.66741943	55	41.00000000	1.3 spk/s	mua	2934
61	16.88414955	34	64.00000000	1.1 spk/s	noise	2544
62	27.55963516	57	40.00000000	0.1 spk/s	noise	180
64	16.63167381	34	64.00000000	1.4 spk/s	noise	3100
65	20.61666107	51	43.00000000	3.2 spk/s	mua	7167
66	15.25341129	34	64.00000000	0.4 spk/s	noise	828
69	15.32244110	34	64.00000000	3.3 spk/s	noise	7295
70	34.50298309	30	2.00000000	17.8 spk/s	good	39601
71	43.08954620	19	19.00000000	10.3 spk/s	good	22823
72	50.45117569	13	22.00000000	3.8 spk/s	good	8558
73	46.60453796	9	11.00000000	4.1 spk/s	good	9203
74	18.70459747	47	45.00000000	0.4 spk/s	noise	877
78	40.88032532	9	11.00000000	5.6 spk/s	good	12353
80	16.54078484	34	64.00000000	1.9 spk/s	noise	4306
